구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공선택,ECON439,한국거시경제분석,3,3,3,2,"경제현상에대한통시적,융합적이해",,,,,정경대학,경제학과,경제학과,,,3
전공선택,ECON450,화폐금융세미나,3,3,4,2,사회적문제의이해와공감,,ECON150,,,정경대학,경제학과,경제학과,,,3
전공선택,ECON451,산업조직세미나,3,3,4,2,정량적분석및데이터활용,ECON240,,,,정경대학,경제학과,경제학과,,,3
전공선택,ECON457,한국경제세미나,3,3,4,1,"경제현상에대한통시적,융합적이해",,,,,정경대학,경제학과,경제학과,,,1
전공선택,ECON460,고급이론세미나,3,3,4,2,소통및협업능력,,,,,정경대학,경제학과,경제학과,,,4
전공선택,ECON463,중급계량경제학,3,3,3,2,문제의식별과구조화,,,,,정경대학,경제학과,경제학과,,,3
전공선택,ECON466,경제정책과프로그램효과의실증분석,3,3,4,2,문제의식별과구조화,,,,,정경대학,경제학과,경제학과,,,1
전공선택,ECON491,이론경제연습,3,3,4,1,응용능력과정책적사고,ECON173|ECON201|ECON202,,,,정경대학,경제학과,경제학과,,,2
전공선택,ECON492,응용경제연습,3,3,4,2,응용능력과정책적사고,ECON174|ECON201|ECON202|ECON174|ECON201|ECON202,ECON173|ECON301|ECON173|ECON301,,,정경대학,경제학과,경제학과,,,2
전공인정,JURA208,국제법총론,3,3,,,,,,,,정경대학,경제학과,법학전문대학원,,,0
전공인정,JURA305,행정법총론,3,3,,,,,,,,정경대학,경제학과,법학전문대학원,,,0
전공인정,JURA306,행정법각론,3,3,,,,,,,,정경대학,경제학과,법학전문대학원,,,0
전공인정,JURA309,국제법각론,3,3,,,,,,,,정경대학,경제학과,법학전문대학원,,,0
전공인정,JURA330,경제법,3,3,,,,,,,,정경대학,경제학과,법학전문대학원,,,0
전공인정,JURA485,금융법,3,3,,,,,,,,정경대학,경제학과,법학전문대학원,,,0
전공인정,BUSS207,재무관리,3,3,2,1,,,BUSS152|BUSS154,,,정경대학,경제학과,경영학과,,,5
전공인정,BUSS213,중급회계I,3,3,2,1,,BUSS152,,,,정경대학,경제학과,경영학과,,,5
전공인정,BUSS354,회계학이론,3,3,3,1,,BUSS152,,,,정경대학,경제학과,경영학과,,,5
전공인정,BUSS386,선물옵션,3,3,3,2,,BUSS207|BUSS207,BUSS254|BUSS254,,,정경대학,경제학과,경영학과,,,5
전공인정,MATH211,해석학I및연습,3,3,2,1,,,,,,정경대학,경제학과,수학과,,,5
전공인정,MATH212,해석학II및연습,3,3,2,2,,,,,,정경대학,경제학과,수학과,,,5
전공인정,MATH221,선형대수I및연습,3,3,2,1,,,,,,정경대학,경제학과,수학과,,,5
전공인정,MATH222,선형대수II및연습,3,3,2,2,,,,,,정경대학,경제학과,수학과,,,5
전공인정,MATH240,미분방정식및연습,3,3,2,2,,,,,,정경대학,경제학과,수학과,,,5
전공인정,STAT221,확률론입문,3,3,2,1,,,STAT151|STAT201,,,정경대학,경제학과,통계학과,,,5
전공인정,STAT232,수리통계학,3,3,2,2,,,STAT201|STAT221,,,정경대학,경제학과,통계학과,,,5
전공인정,PAPP240,조직이론,3,3,1,2,,,,,,정경대학,경제학과,행정학과,,,5
전공인정,FNEG310,파생금융상품론,3,3,3,1,,,,,,정경대학,경제학과,금융공학융합전공,,,5
교양필수,GELI005,학문세계의탐구 I,3,3,1,,,,,,,정경대학,경제학과,,,,1
교양필수,GEWR002,글쓰기,3,3,1,1,,,,,,정경대학,경제학과,,,,1
교양필수,IFLS800,Academic English I,2,2,1,,,,,,,정경대학,경제학과,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1,1,1,,,,,,정경대학,경제학과,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 II,1,1,1,2,,,,,,정경대학,경제학과,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,3,3,1,1,,,,,,정경대학,경제학과,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,3,3,1,2,,,,,,정경대학,경제학과,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,3,3,1,,,,,,,정경대학,경제학과,,,,1
