구분,학수번호,교과목명,학점,시간,학년,학기,필수선수,권장선수,실험실습,세부전공,전공역량,대학,학과,개설학과,내용,메모,개설횟수
전공선택,DISS475,국제분쟁해결,3,3,4,2,,,,,실용지식기반도전적사고,국제대학,국제학부,국제학부,,,1
전공선택,DISS476,지속가능발전의주요이슈,3,3,4,1,,DISS112|PAPP201|POLI223,,,,국제대학,국제학부,국제학부,,,1
전공선택,DISS477,개발협력의주요이슈,3,3,,,,,,,,국제대학,국제학부,국제학부,,,2
전공선택,DISS479,교육보건및개발,3,3,4,1,,,,,사회참여및사회공헌,국제대학,국제학부,국제학부,,,0
전공선택,DISS481,기후환경법과정치,3,3,4,2,,,,,사회참여및사회공헌,국제대학,국제학부,국제학부,,,0
전공선택,DISS483,동아시아환경관리,3,3,4,2,,,,,사회참여및사회공헌,국제대학,국제학부,국제학부,,,0
전공선택,DISS485,물과지속가능성,3,3,4,1,,,,,사회참여및사회공헌,국제대학,국제학부,국제학부,,,1
전공선택,GKSS203,한국과동아시아,3,3,2,1,,,,,,국제대학,국제학부,글로벌한국융합학부,,,0
전공선택,GKSS204,한국문화의재조명,3,3,2,2,,,,,,국제대학,국제학부,글로벌한국융합학부,,,1
전공선택,GKSS212,동아시아의도시화,3,3,2,2,,,,,,국제대학,국제학부,글로벌한국융합학부,,,0
전공선택,GKSS214,한국과국제법,3,3,,,,,,,,국제대학,국제학부,글로벌한국융합학부,,,0
전공선택,GKSS303,글로벌한국의대외관계,3,3,3,1,,,,,,국제대학,국제학부,글로벌한국융합학부,,,0
전공선택,GKSS309,글로벌한국학특강I,3,3,3,1,,,,,,국제대학,국제학부,글로벌한국융합학부,,,0
전공선택,GKSS312,북한의정치와경제,3,3,3,2,,,,,,국제대학,국제학부,글로벌한국융합학부,,,0
전공선택,GKSS314,남북한관계의이해,3,3,3,2,,,,,,국제대학,국제학부,글로벌한국융합학부,,,0
전공선택,GKSS315,한국통상정책,3,3,,,,,,,,국제대학,국제학부,글로벌한국융합학부,,,0
전공선택,GKSS403,한국의문화외교,3,3,4,1,,,,,,국제대학,국제학부,글로벌한국융합학부,,,0
전공선택,GKSS404,글로벌한국학특강II,3,3,4,2,,,,,,국제대학,국제학부,글로벌한국융합학부,,,0
전공선택,GKSS409,한국과국제개발,3,3,4,1,,,,,,국제대학,국제학부,글로벌한국융합학부,,,0
전공선택,GKSS410,한미관계,3,3,,,,,,,,국제대학,국제학부,글로벌한국융합학부,,,0
교양필수,GELI005,학문세계의탐구 I,3,3,1,,,,,,,국제대학,국제학부,,,,1
교양필수,GEWR002,글쓰기,3,3,1,1,,,,,,국제대학,국제학부,,,,1
교양필수,IFLS800,Academic English I,2,2,1,,,,,,,국제대학,국제학부,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1,1,1,,,,,,국제대학,국제학부,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 II,1,1,1,2,,,,,,국제대학,국제학부,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,3,3,1,1,,,,,,국제대학,국제학부,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,3,3,1,2,,,,,,국제대학,국제학부,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,3,3,1,,,,,,,국제대학,국제학부,,,,1
