구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
전공선택,KHES206,방사선과환경,2,2.0,,,,환경보건안전,3,3,사회적책임,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,1
전공선택,KHES212,물환경관리,2,2.0,,,,환경보건안전,3,3,융합적사고,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,2
전공선택,KHES213,산업보건학,2,1.0,,,,환경보건안전,3,3,공감소통,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES214,위해독성평가및실험,2,2.0,,,,환경보건안전,3,4,창의적문제해결,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,1
전공선택,KHES216,작업환경관리,2,2.0,,,,환경보건안전,3,3,융합적사고,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,2
전공선택,KHES218,공기질평가및실험,2,2.0,,,,환경보건안전,3,4,융합적사고,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,1
전공선택,KHES246,환경물리화학,2,2.0,,,,환경보건안전,3,3,융합적사고,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES312,환경위해성평가,3,2.0,,,,환경보건안전,3,3,사회적책임,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES313,실내환경학,3,1.0,,,,환경보건안전,3,3,융합적사고,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,1
전공선택,KHES314,산업환기,3,2.0,,,,환경보건안전,3,3,창의적문제해결,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,1
전공선택,KHES315,수질오염제어,3,1.0,,,,환경보건안전,3,3,융합적사고,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES317,대기질관리,3,1.0,,,,환경보건안전,3,3,창의적문제해결,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES336,환경과식품독성,3,2.0,,,,환경보건안전,3,3,창의적문제해결,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES337,유해화학물질관리,3,1.0,,,,환경보건안전,3,3,도전적리더,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES412,산업안전관리,4,2.0,,,,환경보건안전,3,3,도전적리더,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,1
전공선택,KHES413,융합보건청정기술,4,1.0,,,,환경보건안전,3,3,융합적사고,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES414,수질평가및실험,4,2.0,,,,환경보건안전,3,4,사회적책임,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,1
전공선택,KHES417,환경및식품위생학,4,1.0,,,,환경보건안전,3,3,창의적문제해결,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES431,작업환경측정및실험,4,1.0,,,,환경보건안전,3,4,융합적사고,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES432,식품환경보건학,4,2.0,,,,환경보건안전,3,3,창의적문제해결,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,1
전공선택,KHES443,위해분석환경안전및실험,4,1.0,,,,환경보건안전,3,3,창의적문제해결,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,1
전공선택,KHES224,방사선상호작용,2,2.0,,,,보건의로,3,3,사회적책임,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,2
전공선택,KHES225,진단화학및실험,2,1.0,,,,보건의로,3,4,융합적사고,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES233,의학용어,2,1.0,,,,보건의로,3,3,공감소통,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES242,임상신경과학,2,2.0,,,,보건의로,3,3,융합적사고,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,1
전공선택,KHES301,방사선생명과학,3,1.0,,,,보건의로,3,3,사회적책임,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
전공선택,KHES304,의료기기시스템,3,2.0,,,,보건의로,3,3,사회적책임,보건과학대학,보건환경융합과학부,보건환경융합과학부,,,0
