구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양필수,GELI005,학문세계의탐구 I,1.0,,,,,,3,3,,이과대학,물리학과,,,,1
교양필수,GEWR002,글쓰기,1.0,1.0,,,,,3,3,,이과대학,물리학과,,,,1
교양필수,IFLS800,Academic English I,1.0,,,,,,2,2,,이과대학,물리학과,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1.0,1.0,,,,,1,1,,이과대학,물리학과,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 I,1.0,2.0,,,,,1,1,,이과대학,물리학과,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1.0,1.0,,,,,3,3,,이과대학,물리학과,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1.0,2.0,,,,,3,3,,이과대학,물리학과,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1.0,,,,,,3,3,,이과대학,물리학과,,,,1
교양선택,MATH161,미적분학및연습I,1.0,1.0,,,,,3,4,,이과대학,물리학과,수학과,,,5
교양선택,MATH162,미적분학및연습II,1.0,2.0,,,,,3,4,,이과대학,물리학과,수학과,,,5
교양선택,PHYS151,일반물리학연습 I,1.0,1.0,,,,,3,3,이론학습을 통한 기초물리법칙의 이해,이과대학,물리학과,물리학과,,,5
교양선택,PHYS152,일반물리학연습 II,1.0,2.0,,,,,3,3,이론학습을 통한 기초물리법칙의 이해,이과대학,물리학과,물리학과,,,5
교양선택,PHYS161,일반물리학실험 I,1.0,1.0,,,,,1,3,실험방법의 습득을 통한 문제해결,이과대학,물리학과,물리학과,,,5
교양선택,PHYS162,일반물리학실험 II,1.0,2.0,,,,,1,3,실험방법의 습득을 통한 문제해결,이과대학,물리학과,물리학과,,,5
교양선택,CHEM151,일반화학및연습 I,1.0,1.0,,,,,3,3,,이과대학,물리학과,화학과,,,5
교양선택,CHEM152,일반화학및연습 II,1.0,2.0,,,,,3,3,,이과대학,물리학과,화학과,,,5
교양선택,CHEM153,일반화학실험 I,1.0,1.0,,,,,1,3,,이과대학,물리학과,화학과,,,5
교양선택,CHEM154,일반화학실험 II,1.0,2.0,,,,,1,3,,이과대학,물리학과,화학과,,,5
교양선택,EAES151,지구환경과학및연습 I,1.0,1.0,,,,,3,3,,이과대학,물리학과,지구환경과학과,,,5
교양선택,EAES152,지구환경과학및연습 II,1.0,2.0,,,,,3,3,,이과대학,물리학과,지구환경과학과,,,5
교양선택,EAES153,지구환경과학실험 I,1.0,1.0,,,,,1,3,,이과대학,물리학과,지구환경과학과,,,5
교양선택,EAES154,지구환경과학실험 II,1.0,2.0,,,,,1,3,,이과대학,물리학과,지구환경과학과,,,5
교양선택,LIBS151,일반생물학및연습 I,1.0,1.0,,,,,3,3,,이과대학,물리학과,생명과학부,,,5
교양선택,LIBS152,일반생물학및연습 II,1.0,2.0,,,,,3,3,,이과대학,물리학과,생명과학부,,,5
교양선택,LIBS153,일반생물학실험 I,1.0,1.0,,,,,1,3,,이과대학,물리학과,생명과학부,,,5
교양선택,LIBS154,일반생물학실험 II,1.0,2.0,,,,,1,3,,이과대학,물리학과,생명과학부,,,5
전공필수,PHYS203,전자물리학및실험,2.0,1.0,,,,,3,3,실험방법의 습득을 통한 문제해결,이과대학,물리학과,물리학과,,,5
전공필수,PHYS204,기초물리학실험I,2.0,2.0,,,,,2,3,실험방법의 습득을 통한 문제해결,이과대학,물리학과,물리학과,,,5
전공필수,PHYS220,고전역학,2.0,1.0,,,,,3,3,이론학습을 통한 기초물리법칙의 이해,이과대학,물리학과,물리학과,,,5
전공필수,PHYS224,전자기학I,2.0,2.0,,,,,3,3,이론학습을 통한 기초물리법칙의 이해,이과대학,물리학과,물리학과,,,5
전공필수,PHYS233,수리물리학,2.0,1.0,,,,,3,3,수학에 기반을 둔 정량적분석,이과대학,물리학과,물리학과,,,5
전공필수,PHYS234,수리역학,2.0,2.0,,,,,3,3,수학에 기반을 둔 정량적분석,이과대학,물리학과,물리학과,,,5
전공필수,PHYS303,기초물리학실험II,3.0,1.0,,,,,2,3,실험방법의 습득을 통한 문제해결,이과대학,물리학과,물리학과,,,5
전공필수,PHYS331,전자기학II,3.0,1.0,,,,,3,3,이론학습을 통한 기초물리법칙의 이해,이과대학,물리학과,물리학과,,,5
전공필수,PHYS344,통계물리학I,3.0,2.0,,,,,3,3,이론학습을 통한 기초물리법칙의 이해,이과대학,물리학과,물리학과,,,5
전공필수,PHYS361,양자역학I,3.0,1.0,,,,,3,3,이론학습을 통한 기초물리법칙의 이해,이과대학,물리학과,물리학과,,,5
전공필수,PHYS362,양자역학II,3.0,2.0,,,,,3,3,이론학습을 통한 기초물리법칙의 이해,이과대학,물리학과,물리학과,,,5
전공선택,PHYS370,물리학탐구I,3.0,2.0,,,,,3,3,물리법칙을 응용한 독립적 문제해결,이과대학,물리학과,물리학과,,,1
전공선택,PHYS433,통계물리학II,4.0,1.0,,,,,3,3,이론학습을 통한 기초물리법칙의 이해,이과대학,물리학과,물리학과,,,5
전공선택,PHYS461,전산물리학및실습,4.0,1.0,,,,,3,3,IT 지식과 기술을 활용한 탐구 및 문제해결,이과대학,물리학과,물리학과,,,5
전공선택,PHYS462,원자물리학,4.0,2.0,,,,,3,3,물리법칙을 응용한 독립적 문제해결,이과대학,물리학과,물리학과,,,5
전공선택,PHYS463,양자정보물리학,4.0,1.0,,,,,3,3,IT 지식과 기술을 활용한 탐구 및 문제해결,이과대학,물리학과,물리학과,,,5
